GGM32ER70J476ME19,In Production,47uF,6.3,X7R,3225M/1210,2.7,+/-20%,Water repellent/ Automotive [AEC-Q200]
GRJ32ER71A476KE11,In Production,47uF,10,X7R,3225M/1210,2.8,+/-10%,Resin external electrode
GRJ32ER71A476ME11,In Production,47uF,10,X7R,3225M/1210,2.8,+/-20%,Resin external electrode
GRM32ER71A476KE15,In Production,47uF,10,X7R,3225M/1210,2.7,+/-10%,General Purpose
GRM32ER71A476ME15,In Production,47uF,10,X7R,3225M/1210,2.7,+/-20%,General Purpose
GXM32ER71A476ME10,In Production,47uF,10,X7R,3225M/1210,2.7,+/-20%,Water repellent/ General Purpose
KRM55WR71E476MH01,In Production,47uF,25,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55WR71E476MH01,In Production,47uF,25,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55WR7YA476MH01,In Production,47uF,35,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55WR7YA476MH01,In Production,47uF,35,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55QR71E336KH01,In Production,33uF,25,X7R,5750M/2220,3.9,+/-10%,Metal Terminal General
KRM55TR71E336MH01,In Production,33uF,25,X7R,5750M/2220,5.0,+/-20%,Metal Terminal General
KCM55QR71E336KH01,In Production,33uF,25,X7R,5750M/2220,3.9,+/-10%,Metal terminal/ Automotive [AEC-Q200]
KCM55TR71E336MH01,In Production,33uF,25,X7R,5750M/2220,5.0,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55TR7YA336MH01,In Production,33uF,35,X7R,5750M/2220,5.0,+/-20%,Metal Terminal General
KRM55WR7YA336MH01,In Production,33uF,35,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55TR7YA336MH01,In Production,33uF,35,X7R,5750M/2220,5.0,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KCM55WR7YA336MH01,In Production,33uF,35,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55WR71H336MH01,In Production,33uF,50,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55WR71H336MH01,In Production,33uF,50,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
ZRB186R60G226ME11,In Production,22uF,4,X5R,1608M/0603,0.8,+/-20%,Acoustic noise reduction (interposer)
GRM186R60G226ME15,In Production,22uF,4,X5R,1608M/0603,0.6,+/-20%,General Purpose
GRM188R60G226MEA0,In Production,22uF,4,X5R,1608M/0603,1.0,+/-20%,General Purpose
GRM187R60J226ME15,In Production,22uF,6.3,X5R,1608M/0603,0.8,+/-20%,General Purpose
ZRB186R60J226ME11,In Production,22uF,6.3,X5R,1608M/0603,0.8,+/-20%,Acoustic noise reduction (interposer)
GRM186R60J226ME15,In Production,22uF,6.3,X5R,1608M/0603,0.6,+/-20%,General Purpose
GRM188R60J226MEA0,In Production,22uF,6.3,X5R,1608M/0603,1.0,+/-20%,General Purpose
GRT188R60J226ME13,In Production,22uF,6.3,X5R,1608M/0603,1.0,+/-20%,Infotainment for Automotive [AEC-Q200]
GRM187R61A226ME15,In Production,22uF,10,X5R,1608M/0603,0.8,+/-20%,General Purpose
ZRB188R61A226ME05,In Production,22uF,10,X5R,1608M/0603,0.95,+/-20%,Acoustic noise reduction (interposer)
GRM188R61A226ME15,In Production,22uF,10,X5R,1608M/0603,1.0,+/-20%,General Purpose
GRT188R61A226ME13,In Production,22uF,10,X5R,1608M/0603,1.0,+/-20%,Infotainment for Automotive [AEC-Q200]
GRM219R61C226ME15,In Production,22uF,16,X5R,2012M/0805,1.0,+/-20%,General Purpose
GXM219R61C226ME10,In Production,22uF,16,X5R,2012M/0805,1.0,+/-20%,Water repellent/ General Purpose
GXM21BR61C226ME44,In Production,22uF,16,X5R,2012M/0805,1.45,+/-20%,Water repellent/ General Purpose
GRM21BR61C226ME44,In Production,22uF,16,X5R,2012M/0805,1.45,+/-20%,General Purpose
GXM21BR61E226ME44,In Production,22uF,25,X5R,2012M/0805,1.45,+/-20%,Water repellent/ General Purpose
ZRA21CR61E226ME01,In Production,22uF,25,X5R,2012M/0805,1.65,+/-20%,Acoustic noise reduction (interposer)
GRM21BR61E226ME44,In Production,22uF,25,X5R,2012M/0805,1.45,+/-20%,General Purpose
KRM21FR61E226MFA1,In Production,22uF,25,X5R,2012M/0805,2.0,+/-20%,Metal Terminal General
